symbol,type,entry_price,entry_time,target_price,target_exit_time,status,exit_price,variation,result,quality_score,signal_class,trend_score,alignment_score,market_score,strategy_info,trend_timeframe,entry_timeframe,trend_strength,confluence_count,leverage,max_exit_time,expected_duration
SWARMSUSDT,LONG,0.01959,2025-07-01 11:49:28,0.02148611,2025-07-08 11:49:28,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
FIDAUSDT,LONG,0.07185,2025-07-01 11:49:40,0.07771137,2025-07-08 11:49:40,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
BROCCOLI714USDT,LONG,0.03678,2025-07-01 11:49:46,0.03956275,2025-07-08 11:49:46,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
PLUMEUSDT,LONG,0.0859,2025-07-01 11:49:56,0.09225183,2025-07-08 11:49:56,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
NFPUSDT,LONG,0.06012,2025-07-01 11:50:05,0.06416895,2025-07-08 11:50:05,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
METISUSDT,LONG,15.91,2025-07-01 11:50:09,16.87180351,2025-07-08 11:50:09,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
SKATEUSDT,SHORT,0.04208,2025-07-01 11:55:59,0.03842576,2025-07-08 11:55:59,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
1000XUSDT,SHORT,0.04305,2025-07-01 11:56:32,0.040353,2025-07-08 11:56:32,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
PENGUUSDT,LONG,0.01453,2025-07-01 12:01:53,0.01540634,2025-07-08 12:01:53,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
HOOKUSDT,LONG,0.1072,2025-07-01 12:02:11,0.12167584,2025-07-08 12:02:11,OPEN,,,,90.0,Sinais Premium,20.0,30.0,40.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
BELUSDT,LONG,0.2418,2025-07-01 12:09:09,0.25678905,2025-07-08 12:09:09,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
