symbol,type,entry_price,entry_time,target_price,projection_percentage,signal_class,status,confirmed_at,confirmation_reasons,confirmation_attempts,quality_score,btc_correlation,btc_trend
HIGHUSDT,VENDA,0.45,2025-08-21 06:16:47,0.381711,15.18,,OPEN,21/08/2025 06:16:47,['unified_system'],0,7.0,0.0,NEUTRAL
UXLINKUSDT,COMPRA,0.5077,2025-08-21 06:16:47,0.5840848,15.05,,OPEN,21/08/2025 06:16:47,['unified_system'],0,7.0,0.0,NEUTRAL
EGLDUSDT,VENDA,14.617,2025-08-21 06:16:47,13.221556,9.55,,OPEN,21/08/2025 06:16:47,['unified_system'],0,7.0,0.0,NEUTRAL
FXSUSDT,VENDA,1.8213,2025-08-21 06:16:47,1.685958,7.43,,OPEN,21/08/2025 06:16:47,['unified_system'],0,7.0,0.0,NEUTRAL
REZUSDT,COMPRA,0.01849,2025-08-21 06:16:47,0.02251936,21.79,,OPEN,21/08/2025 06:16:47,['unified_system'],0,8.0,0.0,NEUTRAL
BANUSDT,VENDA,0.0562,2025-08-21 06:16:47,0.0519358,7.59,,OPEN,21/08/2025 06:16:47,['unified_system'],0,8.0,0.0,NEUTRAL
1000CHEEMSUSDT,COMPRA,0.0016353,2025-08-21 06:16:47,0.00186717,14.18,,OPEN,21/08/2025 06:16:47,['unified_system'],0,7.0,0.0,NEUTRAL
ALCHUSDT,VENDA,0.07464,2025-08-21 06:16:47,0.05148972,31.02,,OPEN,21/08/2025 06:16:47,['unified_system'],0,7.0,0.0,NEUTRAL
VINEUSDT,VENDA,0.03264,2025-08-21 06:16:47,0.01816644,44.34,,OPEN,21/08/2025 06:16:47,['unified_system'],0,7.0,0.0,NEUTRAL
SPXUSDT,VENDA,0.457,2025-08-21 06:16:48,0.3563896,22.02,,OPEN,21/08/2025 06:16:47,['unified_system'],0,10.5,0.0,NEUTRAL
JELLYJELLYUSDT,COMPRA,0.01411,2025-08-21 06:16:48,0.01649548,16.91,,OPEN,21/08/2025 06:16:47,['unified_system'],0,11.5,0.0,NEUTRAL
BABYUSDT,VENDA,0.08419,2025-08-21 06:16:48,0.03432358,59.23,,OPEN,21/08/2025 06:16:47,['unified_system'],0,10.0,0.0,NEUTRAL
